"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"chr1:805799|810170",49,19,12,69,91,9,0,65,51,26,29
"chr1:12001401|12002103",90,25,46,86,101,93,66,61,0,81,66
"chr1:12275825|12278038",22,5,6,14,41,23,66,52,34,20,28
"chr1:12299202|12304728",0,0,0,8,4,0,0,0,5,0,0
"chr1:12299202|12308641",3,15,31,17,21,12,0,67,15,14,0
"chr1:12299202|12311925",0,0,0,0,2,0,0,23,0,0,0
"chr1:12299202|12322746",0,0,0,0,9,0,0,0,0,0,0
"chr1:12299202|12333366",0,0,0,0,9,0,0,0,0,0,0
"chr1:12322536|12323780",0,0,0,0,11,0,0,0,0,0,0
"chr1:12322536|12329918",10,9,0,0,8,0,4,0,0,8,12
"chr1:12400181|12416827",11,0,4,0,25,6,0,34,9,10,0
"chr1:12578718|12579412",48,17,11,58,52,20,56,27,55,39,34
"chr1:12578718|12580666",12,20,8,0,9,18,6,0,21,6,7
"chr1:13607173|13610516",6,0,0,0,12,4,0,0,0,8,0
"chr1:13715541|13742157",21,14,18,29,46,0,8,0,34,46,7
"chr1:13731000|13742157",91,30,27,21,79,55,60,55,65,77,46
"chr1:13731000|13749487",80,11,22,13,55,58,60,16,85,40,40
"chr1:13773078|13782831",5,0,0,9,20,12,17,0,0,0,2
"chr1:15367463|15369502",0,0,0,0,4,0,0,0,0,0,0
"chr1:15518110|15518395",3,0,0,0,10,5,0,0,0,4,0
"chr1:15534237|15536814",11,9,16,17,31,14,28,0,20,33,12
"chr1:15534237|15546871",3,0,0,0,14,8,0,0,0,0,0
"chr1:15536475|15536814",6,0,0,0,6,0,16,0,10,4,0
"chr1:15536475|15559656",0,0,0,0,13,0,0,0,0,0,0
"chr1:15626669|15643650",7,0,0,0,7,0,5,0,13,10,0
"chr1:15626669|15651895",0,0,0,0,11,0,0,0,0,0,0
"chr1:15630325|15651895",13,0,7,10,32,0,13,0,10,0,23
"chr1:15638307|15643650",30,15,13,13,28,19,12,36,39,44,26
"chr1:15638307|15651895",16,11,12,0,11,6,25,0,9,26,6
"chr1:15649720|15651895",17,4,0,6,4,9,0,0,0,0,4
"chr1:15717893|15721388",275,90,117,111,195,123,97,208,154,182,147
"chr1:15719734|15721388",17,7,5,11,23,9,0,0,18,17,11
"chr1:15764493|15765233",0,0,0,0,4,0,0,0,0,0,0
"chr1:15911101|15916279",0,0,0,0,8,0,0,0,5,0,0
"chr1:15916128|15922349",0,8,0,0,10,0,0,0,0,0,0
"chr1:16201782|16202574",81,23,23,13,89,23,58,54,62,33,0
"chr1:16255711|16316571",0,0,0,0,4,0,0,0,0,0,0
"chr1:16484823|16631109",0,4,4,0,7,0,0,0,0,0,0
"chr1:17580553|17588479",43,17,19,14,19,25,21,16,4,0,11
"chr1:18916903|18918502",0,0,0,0,7,4,0,0,0,0,0
"chr1:18916903|18921121",0,0,0,0,6,0,0,0,0,0,0
"chr1:18917797|18918502",0,0,0,0,2,0,0,0,0,0,0
"chr1:19176592|19177743",0,0,0,0,3,0,0,0,0,2,0
"chr1:19176592|19179220",0,0,0,0,6,0,0,0,0,0,0
"chr1:19183811|19185286",12,0,4,0,9,8,0,0,6,9,3
"chr1:19237142|19244015",3,0,6,0,9,0,0,0,0,0,0
"chr1:19655364|19658331",0,0,0,0,5,0,0,0,0,0,0
"chr1:19755634|19787117",0,0,0,0,9,6,0,0,0,0,0
"chr1:19890385|19907876",0,0,0,0,5,0,0,0,6,7,0
"chr1:20744744|20773610",0,0,0,0,18,0,0,0,0,0,11
"chr1:20749723|20773610",30,20,19,20,55,35,64,26,51,33,32
"chr1:20757166|20771073",0,0,0,0,8,0,0,0,0,0,0
"chr1:20757166|20773610",184,44,85,49,167,62,133,95,129,88,90
"chr1:20757166|20776750",14,0,0,0,8,0,8,0,5,12,7
"chr1:20765377|20773610",48,0,5,14,17,16,0,8,28,23,20
"chr1:20765377|20776750",0,0,0,0,3,0,0,0,2,0,0
"chr1:20770930|20773610",139,28,47,82,101,56,143,34,100,84,97
"chr1:20807152|20813239",0,0,0,0,4,0,0,0,0,0,0
"chr1:20813158|20829272",0,0,0,0,4,0,0,0,0,0,0
"chr1:20857403|20862332",0,0,0,0,3,0,0,0,0,5,5
"chr1:20904883|20942330",7,8,0,0,7,0,25,0,8,19,0
"chr1:20969474|20981227",47,19,36,22,46,26,56,47,41,44,50
"chr1:20969474|21002808",16,0,4,6,11,0,29,0,6,3,0
"chr1:20997601|21002808",3,0,0,0,3,0,0,0,0,0,8
"chr1:20997601|21111383",0,0,8,3,15,0,0,0,0,0,0
"chr1:21001199|21002808",12,0,0,0,12,0,0,0,3,5,0
"chr1:21002713|21050994",0,0,0,0,3,0,0,0,0,0,0
"chr1:21002713|21111383",0,10,0,12,11,0,0,9,0,2,0
"chr1:21050866|21111383",29,12,3,28,36,25,27,74,9,23,17
"chr1:21089138|21111383",12,0,25,9,9,19,0,0,20,25,9
"chr1:21221747|21228041",7,4,0,14,8,5,9,42,4,0,9
"chr1:21247221|21256138",0,0,0,0,9,0,0,0,0,0,0
"chr1:21247221|21258839",7,0,0,3,3,0,0,0,0,10,0
"chr1:21272699|21275195",0,0,0,0,4,0,0,0,0,0,0
"chr1:21272699|21290156",24,16,7,15,34,19,35,54,17,0,25
"chr1:21701498|21706868",0,0,0,0,3,5,0,0,0,3,0
"chr1:21704262|21721764",0,0,0,0,12,0,0,0,0,0,0
"chr1:21715389|21724095",29,0,12,7,10,9,16,0,20,6,4
"chr1:21721036|21721764",8,0,0,0,9,0,0,0,0,12,0
"chr1:21833480|21834707",0,0,0,0,4,0,0,0,0,0,0
"chr1:21838825|21839085",0,0,0,0,4,0,0,0,0,2,0
"chr1:21838825|21840017",17,0,25,13,10,4,30,0,5,6,0
"chr1:21841539|21844299",0,0,0,0,7,0,0,0,0,0,0
"chr1:21842770|21852832",0,0,0,0,10,0,0,0,0,0,0
"chr1:21847354|21849031",11,7,13,15,16,11,34,14,13,14,8
"chr1:21851546|21852832",0,0,0,0,3,0,0,0,0,0,6
"chr1:21878186|21879121",0,0,0,0,3,0,0,0,0,0,0
"chr1:22078429|22086866",40,45,32,21,32,22,42,12,21,54,41
"chr1:22078429|22091501",22,0,22,0,23,0,0,47,8,13,0
"chr1:22489880|22491533",12,0,0,4,29,5,4,0,14,12,18
"chr1:23030469|23050520",394,0,104,110,249,0,260,248,220,288,225
"chr1:23030469|23059167",33,9,24,20,24,16,34,12,56,41,15
"chr1:23050387|23059167",11,10,0,0,3,0,10,18,14,10,4
"chr1:23071225|23072197",7,0,8,21,4,6,7,0,0,9,0
"chr1:23321528|23333631",0,0,0,0,3,0,0,0,0,0,0
"chr1:23750845|23752518",0,0,0,0,5,0,0,0,0,0,0
"chr1:23772111|23772426",0,0,0,0,5,0,0,0,0,0,0
"chr1:23814190|23820593",34,16,46,4,52,15,21,80,0,37,25
"chr1:23971573|23972012",11,0,0,0,2,0,0,0,0,0,0
"chr1:24514314|24514567",60,64,21,34,43,32,15,18,60,25,33
"chr1:24666815|24670315",3,7,5,19,11,0,0,0,0,0,0
"chr1:24797742|24827116",6,5,0,0,10,0,15,5,25,12,0
"chr1:24865231|24865658",0,0,0,0,6,7,0,0,0,0,0
"chr1:25225002|25228235",9,0,0,2,7,0,0,0,0,0,0
"chr1:25242374|25243633",3,5,0,0,8,0,0,0,0,0,0
"chr1:25306896|25318271",0,0,0,0,11,3,0,0,4,8,0
"chr1:25315938|25318271",0,0,0,0,8,0,0,0,9,8,0
"chr1:25340474|25351693",18,23,24,20,10,16,22,0,27,43,23
"chr1:25340474|25356853",0,0,0,0,2,0,0,0,0,5,0
"chr1:25351626|25352974",0,0,0,0,3,0,0,0,0,0,0
"chr1:25446762|25454382",0,0,9,0,8,0,0,0,0,0,0
"chr1:25446762|25458892",6,0,0,0,5,0,0,0,5,0,0
"chr1:25489173|25491584",0,0,0,0,7,0,0,0,0,0,0
"chr1:25972558|25974650",0,0,0,0,4,0,0,0,7,0,0
"chr1:26257597|26259802",7,9,26,34,40,30,58,39,12,25,16
"chr1:26268483|26269614",5,0,0,4,5,11,8,0,3,5,4
"chr1:26453609|26463433",0,4,0,11,8,0,19,0,0,0,0
"chr1:26729651|26732792",50,0,12,68,97,36,36,5,25,28,25
"chr1:26760856|26763285",0,0,0,12,7,0,0,0,0,0,0
"chr1:26897301|26897725",0,0,0,0,6,0,0,0,0,0,0
"chr1:26942660|26943065",219,114,100,119,120,78,114,137,115,94,106
"chr1:27105885|27109777",13,0,5,0,9,13,0,6,0,7,5
"chr1:27789562|27793632",12,0,0,5,7,0,0,0,11,11,4
"chr1:27988535|28004419",0,0,0,0,16,0,0,0,0,0,0
"chr1:27993400|28004419",0,0,5,0,8,0,0,0,0,0,0
"chr1:28010947|28017239",0,7,10,15,4,6,18,0,11,9,17
"chr1:28035544|28048426",32,21,0,0,18,33,17,44,21,42,14
"chr1:28035544|28058094",25,22,0,13,46,25,51,33,31,42,31
"chr1:28274825|28279241",0,0,0,0,6,0,18,0,0,3,0
"chr1:28459085|28466535",59,21,26,16,65,30,52,71,15,57,35
"chr1:28473554|28476291",10,0,5,2,2,0,29,0,0,20,0
"chr1:28560633|28561398",8,9,0,0,9,2,0,0,8,7,0
"chr1:28605372|28622165",0,0,6,0,8,0,0,0,5,5,10
"chr1:28613247|28622165",0,0,0,4,10,0,0,0,3,0,0
"chr1:28683583|28697084",0,10,2,0,9,0,0,0,0,19,0
"chr1:28742403|28743986",11,0,4,0,10,6,5,0,19,18,22
"chr1:28987448|28987905",0,0,0,0,6,0,0,0,0,0,0
"chr1:28993330|28997319",0,0,0,5,5,0,0,0,8,0,0
"chr1:29035826|29039426",6,15,10,0,27,0,0,0,15,9,0
"chr1:29154696|29154910",64,23,34,30,21,0,36,36,32,53,43
"chr1:30964674|30967310",0,0,0,0,4,0,0,0,0,0,0
"chr1:30974651|30982640",2,0,0,0,10,0,0,0,0,0,0
"chr1:30992390|30995220",41,84,70,33,53,14,19,0,73,41,90
"chr1:30992390|31007102",30,27,52,13,52,9,47,68,60,21,7
"chr1:31005853|31007102",24,8,2,0,9,12,7,21,15,8,6
"chr1:31059204|31059577",6,0,6,2,6,0,0,0,30,5,11
"chr1:31337175|31348974",33,10,36,15,33,15,19,73,22,37,24
"chr1:31338957|31348974",0,0,9,0,5,0,0,0,0,0,0
"chr1:31346640|31348974",4,8,11,0,12,0,0,0,15,5,6
"chr1:31425776|31429538",0,0,0,0,5,0,0,0,0,0,0
"chr1:31583461|31585485",19,7,8,4,22,20,17,0,20,0,11
"chr1:31793747|31794235",0,0,0,0,9,0,0,0,0,0,0
"chr1:31915895|31919658",337,94,262,146,531,285,423,340,382,289,374
"chr1:32030298|32033334",5,4,3,7,5,14,0,0,0,0,0
"chr1:32030298|32037043",0,0,0,0,9,0,0,0,0,0,0
"chr1:32030298|32045390",8,0,0,2,12,0,21,0,25,21,11
"chr1:32036910|32038619",13,17,17,10,34,9,12,57,13,27,15
"chr1:32036910|32039573",13,3,11,0,15,5,0,0,7,8,4
"chr1:32196909|32197546",0,0,0,0,5,0,0,0,0,0,0
"chr1:32228499|32229208",22,0,5,10,9,0,0,10,0,0,0
"chr1:32231744|32232184",0,13,0,0,13,0,0,0,3,4,0
"chr1:32279671|32280210",3,0,0,4,7,0,8,0,8,5,3
"chr1:32326939|32327677",12,12,5,9,13,0,14,29,10,6,12
"chr1:32553459|32595223",0,0,0,0,2,0,0,0,0,2,0
"chr1:32581791|32582667",0,0,0,0,4,0,0,2,0,4,0
"chr1:32592931|32593754",32,0,23,9,23,23,5,0,0,14,18
"chr1:32631827|32634072",2,0,0,12,6,0,0,0,0,0,0
"chr1:32779382|32781145",6,6,8,0,9,0,37,0,0,0,5
"chr1:32786362|32797843",0,0,0,0,5,0,0,0,0,4,0
"chr1:32797416|32797843",0,0,0,0,3,0,0,0,0,0,0
"chr1:32825313|32828081",0,0,0,0,5,0,0,0,0,0,0
"chr1:32825313|32830067",0,0,0,0,9,7,0,0,6,6,6
"chr1:32942252|32949774",0,0,0,0,13,0,0,0,10,0,0
"chr1:32943352|32944159",0,0,0,0,2,0,0,0,0,0,0
"chr1:32948222|32949774",115,76,69,102,209,0,96,68,105,104,97
"chr1:33294937|33295305",24,10,9,6,25,6,14,0,4,7,8
"chr1:35014697|35019602",0,0,0,0,7,0,12,0,0,0,0
"chr1:35104295|35104769",0,0,2,0,19,0,0,0,0,0,2
"chr1:35104295|35112130",0,0,0,0,11,0,0,0,0,0,0
"chr1:35358925|35361789",141,0,92,53,115,42,98,132,153,157,131
"chr1:35381259|35389082",34,0,10,3,56,5,0,12,40,6,26
"chr1:35381259|35390098",3,0,4,0,10,0,17,0,3,0,6
"chr1:35405023|35405468",6,0,2,0,11,0,31,0,0,8,0
"chr1:35413972|35415714",46,14,48,33,38,13,53,0,39,49,61
"chr1:35441047|35462713",0,0,0,0,4,0,0,0,0,0,0
"chr1:35466608|35479212",0,0,0,0,10,0,0,0,0,12,7
"chr1:35470863|35479212",53,23,52,21,41,0,35,117,27,34,57
"chr1:35816882|35826835",0,0,9,0,5,0,0,0,0,0,12
"chr1:35822862|35826835",5,0,0,0,5,0,22,17,14,0,9
"chr1:35825313|35835993",0,6,0,0,13,0,0,0,0,0,0
"chr1:35831427|35835993",0,0,6,0,6,0,0,0,16,10,14
"chr1:35832437|35851053",0,7,0,0,5,0,0,0,0,0,0
"chr1:35945692|35987026",0,0,0,0,3,0,0,0,0,0,0
"chr1:35966955|35973511",0,0,3,0,13,8,0,18,15,0,8
"chr1:35972024|35973511",0,0,7,0,17,0,0,0,0,0,0
"chr1:35972024|35984548",0,0,4,0,6,0,0,0,0,0,0
"chr1:36004341|36014048",0,0,0,5,5,0,0,0,4,0,0
"chr1:36286368|36291546",0,0,0,0,3,0,0,0,0,0,0
"chr1:36358239|36362656",17,19,21,0,24,16,23,17,6,18,24
"chr1:36361221|36362656",59,9,42,0,22,50,53,17,0,76,52
"chr1:36407380|36410593",0,2,0,5,3,0,0,0,0,0,0
"chr1:37582223|37587495",0,0,0,0,3,0,11,0,0,0,0
"chr1:37866459|37874088",0,10,10,0,28,9,11,0,35,11,0
"chr1:37886888|37890681",0,0,0,0,3,0,0,0,0,0,0
"chr1:39231182|39258028",18,12,49,22,45,0,26,0,25,7,19
"chr1:39254298|39347210",0,0,0,2,11,0,0,0,0,0,0
"chr1:39295787|39300362",0,0,0,0,7,0,0,0,0,0,0
"chr1:39309570|39318615",0,6,10,12,3,0,32,0,0,2,0
"chr1:39360793|39368314",0,0,12,0,3,0,0,0,0,0,0
"chr1:39370030|39372596",9,12,36,43,29,30,29,14,16,29,27
"chr1:39434414|39439500",3,0,5,0,12,0,0,0,5,0,0
"chr1:39444662|39448763",2,0,0,0,9,0,0,0,0,3,0
"chr1:39459086|39480009",0,0,0,0,2,0,0,0,0,0,0
"chr1:39841135|39857417",0,0,4,0,17,6,0,0,0,4,8
"chr1:39853970|39857417",30,6,9,10,32,10,38,0,29,20,15
"chr1:40064227|40064559",34,16,9,31,22,14,27,0,26,43,7
"chr1:40189055|40195764",0,0,0,0,22,0,14,0,6,0,12
"chr1:40189055|40202614",51,32,61,32,158,0,115,31,52,73,52
"chr1:40189055|40222710",0,0,0,0,5,9,0,0,3,0,0
"chr1:40190772|40202614",4,0,20,0,29,7,0,0,11,22,9
"chr1:40190772|40222710",0,0,0,0,3,0,0,0,0,0,0
"chr1:40267786|40272035",57,0,14,17,18,26,73,0,26,62,19
"chr1:40281343|40290997",0,0,0,0,6,6,0,0,0,0,0
"chr1:40406736|40409835",0,0,0,10,16,15,0,10,6,9,0
"chr1:40514515|40517186",0,0,0,0,2,0,0,0,0,0,0
"chr1:40722676|40723274",0,0,0,0,7,0,0,0,3,0,0
"chr1:40997394|41002254",0,0,0,0,6,0,0,0,0,0,0
"chr1:41008794|41010254",19,12,7,0,10,15,0,18,19,6,10
"chr1:41046407|41075451",12,0,12,0,10,8,0,0,0,4,0
"chr1:41070595|41075451",245,97,108,86,225,133,132,156,108,184,188
"chr1:41105742|41117010",0,0,0,0,5,0,0,0,0,0,0
"chr1:41113283|41117010",18,0,13,9,22,13,0,0,7,28,9
"chr1:41113283|41143112",42,13,33,19,36,21,20,32,33,43,29
"chr1:41113283|41151684",0,0,7,0,13,0,0,0,0,11,0
"chr1:41628749|41646243",0,7,5,0,19,0,0,0,9,0,5
"chr1:42227883|42278672",4,5,0,0,8,0,24,0,15,9,4
"chr1:42227883|42278784",0,0,0,0,21,0,0,0,8,0,7
"chr1:42227883|42311110",25,20,9,0,11,7,0,0,48,14,11
"chr1:42265115|42278672",103,25,48,26,72,43,32,58,122,66,59
"chr1:42265115|42278784",40,5,13,22,75,26,12,45,105,31,17
"chr1:42265115|42311110",54,66,43,18,44,53,30,38,210,42,0
"chr1:42265115|42323827",5,11,9,0,41,43,32,50,65,17,16
"chr1:42278348|42311110",0,7,0,0,11,0,0,0,20,0,0
"chr1:42773563|42775479",47,3,22,24,8,11,19,27,34,18,52
"chr1:42835038|42838921",0,0,0,0,2,0,0,0,0,0,0
"chr1:42835038|42840296",0,0,0,0,5,0,0,0,0,0,0
"chr1:42970249|42974188",0,0,0,0,6,0,0,0,0,0,0
"chr1:43087680|43088035",0,0,0,0,9,0,0,0,0,0,0
"chr1:43317199|43318072",0,0,0,0,6,0,0,0,3,0,0
"chr1:43538198|43553941",0,0,0,0,10,0,0,0,0,0,0
"chr1:43553492|43569778",0,0,0,0,5,0,0,0,3,0,0
"chr1:43653137|43660412",0,0,0,0,9,0,0,0,0,0,0
"chr1:43653137|43691049",0,0,0,0,7,0,0,0,0,0,0
"chr1:43824731|43838311",6,10,2,0,8,0,0,0,0,0,0
"chr1:43920404|43920928",0,0,5,0,17,8,22,0,10,5,9
"chr1:43920404|43921638",0,0,3,0,12,5,0,0,0,0,0
"chr1:43957977|43960329",0,0,0,0,3,0,0,0,0,0,0
"chr1:44008353|44008623",0,0,0,0,3,0,0,8,0,0,0
"chr1:44050950|44101615",0,0,0,0,4,0,0,0,0,0,0
"chr1:44284835|44319744",19,13,9,0,13,18,4,0,9,20,4
"chr1:44284835|44339322",17,8,26,8,17,6,7,0,14,13,5
"chr1:44308310|44339322",75,17,13,36,41,19,41,47,48,38,36
"chr1:45087881|45088237",23,0,7,7,7,10,23,0,26,22,31
"chr1:45566569|45567020",18,0,9,4,13,0,11,0,8,35,0
"chr1:45628260|45640403",0,0,0,0,4,0,0,0,0,0,8
"chr1:45634096|45660377",4,0,0,0,7,0,0,0,0,0,0
"chr1:45640210|45642499",113,48,0,88,108,104,72,88,97,111,111
"chr1:45640210|45655319",0,0,0,0,9,2,0,0,3,0,4
"chr1:45727631|45729769",0,0,0,2,6,4,0,0,4,0,0
"chr1:45882364|45959477",0,0,0,0,5,0,0,0,0,0,0
"chr1:46055795|46080750",17,0,5,0,29,0,36,37,0,0,22
"chr1:46352868|46361696",0,0,0,0,15,0,0,0,0,0,0
"chr1:46576575|46594280",0,0,0,0,8,0,0,0,0,0,0
"chr1:46683300|46691937",4,0,0,0,26,3,0,22,9,5,19
"chr1:47260289|47261384",0,0,0,0,9,0,0,0,0,0,0
"chr1:47272076|47301748",0,0,0,0,8,8,0,0,0,0,0
"chr1:47280241|47282459",6,0,0,0,15,4,0,0,3,3,9
"chr1:47295765|47301748",0,0,0,0,14,0,0,0,0,0,5
"chr1:47301561|47310362",0,0,0,0,2,0,0,0,0,0,0
"chr1:47368469|47375293",17,21,36,6,58,10,74,15,37,56,30
"chr1:47775170|47778544",5,0,0,0,11,6,4,0,0,0,0
"chr1:47778454|47794760",0,0,0,0,10,0,0,0,0,0,0
"chr1:48011530|48097236",13,0,0,0,8,9,0,6,2,0,0
"chr1:48305787|48359770",20,0,0,0,8,0,22,29,23,9,4
"chr1:48315059|48359770",0,0,0,0,7,0,0,0,0,0,0
"chr1:48355670|48359770",118,20,43,32,30,31,40,25,36,81,56
"chr1:48355670|48385349",11,9,0,0,7,0,0,0,0,10,15
"chr1:48355670|48403882",9,0,5,17,9,3,0,0,2,5,0
"chr1:48355670|48413151",0,0,0,0,6,0,0,0,0,0,0
"chr1:48395267|48399644",3,0,0,0,4,0,31,13,0,2,0
"chr1:48451552|48453131",8,0,0,0,11,4,0,0,0,0,0
"chr1:50490588|50535457",0,0,0,9,5,0,0,0,6,9,18
"chr1:50535369|50584811",0,0,10,0,8,0,18,0,15,11,0
"chr1:50567077|50596216",15,2,5,6,37,8,0,0,30,10,3
"chr1:50655442|50744775",17,11,23,15,20,22,53,16,23,43,26
"chr1:50655442|50801677",0,0,6,0,7,0,0,0,0,0,0
"chr1:51265877|51270125",7,0,0,0,11,0,0,0,0,0,0
"chr1:51394381|51421858",16,8,6,0,15,0,59,0,6,7,9
"chr1:51394381|51448135",15,0,0,4,9,7,0,0,19,15,10
"chr1:51402435|51408332",74,37,50,70,129,35,104,96,82,75,98
"chr1:51402435|51421858",0,0,0,0,5,0,0,0,0,0,0
"chr1:51402435|51447105",0,0,0,0,11,0,0,0,0,0,0
"chr1:51405905|51408332",36,19,32,18,45,17,60,32,37,52,26
"chr1:51409535|51448135",0,0,0,0,8,0,8,0,0,0,0
"chr1:51421786|51448135",0,0,2,10,6,7,16,0,12,8,11
"chr1:51421786|51465326",0,0,0,0,3,0,0,6,0,0,0
"chr1:51440347|51448135",12,2,20,18,25,6,22,14,13,22,6
"chr1:51444889|51448135",0,15,0,0,5,0,0,0,0,0,0
"chr1:51461091|51465326",6,0,12,16,5,7,4,32,4,16,7
"chr1:51461091|51481314",0,0,0,0,11,0,0,28,17,0,0
"chr1:51461091|51508771",0,0,0,0,9,0,0,0,0,0,0
"chr1:51745536|51765981",0,0,0,0,9,0,0,0,0,0,0
"chr1:51748369|51765981",7,0,4,0,3,0,0,0,5,8,0
"chr1:51748369|51772182",0,0,0,0,10,0,0,0,0,0,0
"chr1:51750145|51761971",0,0,18,0,16,9,9,0,0,10,8
"chr1:51750145|51765981",10,0,14,8,13,0,0,0,0,12,0
"chr1:51772070|51775773",0,0,0,0,5,0,0,0,0,0,0
"chr1:51803814|51814813",0,0,0,0,4,0,0,0,0,0,0
"chr1:51823664|51834170",9,0,8,5,22,0,0,20,26,12,12
"chr1:51827796|51834170",22,8,7,9,14,0,0,0,9,12,10
"chr1:51836131|51840514",0,0,0,0,5,0,0,0,0,0,0
"chr1:52233171|52239595",0,0,0,0,2,0,0,0,0,4,0
"chr1:52281661|52303925",23,0,14,0,9,12,0,6,0,11,0
"chr1:52293453|52303925",0,0,0,0,2,0,0,0,4,0,0
"chr1:52396046|52397863",0,3,0,0,3,0,0,0,0,0,3
"chr1:52445787|52461769",12,0,0,0,12,0,24,0,6,0,0
"chr1:52477708|52481923",0,0,0,23,13,0,0,0,21,2,9
