"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"chr1:805799|810170",9,0,0,2,3,6,0,0,0,3,0
"chr1:62444738|62447511",2,0,0,0,0,0,0,0,0,0,0
"chr1:62577262|62586624",2,0,3,0,2,0,0,0,0,0,0
"chr1:62803719|62841547",2,0,0,0,0,0,0,2,0,0,0
"chr1:64009305|64050716",8,3,2,7,6,3,0,0,3,10,6
"chr1:64582156|64602912",2,0,0,0,2,0,0,0,0,0,2
"chr1:64582156|64641969",3,0,0,0,0,0,0,0,0,0,0
"chr1:64666057|64675983",3,0,0,2,0,0,0,0,0,2,0
"chr1:64777623|64789514",2,0,0,0,0,0,0,0,0,0,0
"chr1:66862147|66905375",2,0,0,3,0,0,2,0,0,0,0
"chr1:66891154|66905375",44,16,21,20,37,22,18,19,24,31,29
"chr1:66958059|66963160",9,6,5,8,8,0,5,11,9,6,2
"chr1:70292388|70315566",4,0,4,6,3,4,0,3,6,2,6
"chr1:70300764|70313790",2,0,0,0,0,0,0,0,0,0,0
"chr1:70417937|70424416",2,0,0,0,0,0,0,0,0,0,0
"chr1:77631850|77641655",2,0,0,0,4,3,3,0,5,3,0
"chr1:77711747|77715868",5,0,0,0,0,2,0,4,0,5,3
"chr1:77717867|77725762",3,0,4,2,2,5,0,2,2,2,3
"chr1:77801331|77815231",5,4,4,5,4,7,3,5,4,5,0
"chr1:77858938|77866391",3,0,0,2,0,3,0,0,0,0,0
"chr1:77916055|77918273",3,0,4,4,0,0,0,0,2,4,0
"chr1:77940968|77942221",2,0,0,0,0,0,0,0,0,0,0
"chr1:83911165|83947282",3,0,0,0,0,3,0,0,0,0,0
"chr1:83917604|83942679",3,0,0,0,0,0,0,0,0,0,0
"chr1:84179177|84214317",3,0,0,0,0,0,2,3,0,0,0
"chr1:85907194|85911433",2,0,0,0,0,0,0,0,0,0,0
"chr1:86124845|86146183",4,4,2,2,6,2,0,3,3,0,3
"chr1:86715724|86719635",3,0,0,0,0,0,2,3,0,0,3
"chr1:86715724|86724405",3,0,0,2,0,4,0,0,2,3,3
"chr1:86715724|86743235",3,2,0,2,0,0,0,0,0,0,3
"chr1:88740988|88786213",5,4,5,7,0,6,5,0,2,4,4
"chr1:88770352|88771879",3,0,0,0,2,2,2,0,3,0,2
"chr1:88770352|88786213",2,0,0,0,0,0,0,0,2,3,0
"chr1:90916640|90941309",3,0,0,0,0,0,0,0,0,0,0
"chr1:90937485|90982370",4,3,3,3,0,0,0,0,2,0,0
"chr1:91375358|91385834",3,0,0,0,0,0,0,0,0,0,0
"chr1:92320599|92345914",3,0,0,0,0,0,0,0,0,0,0
"chr1:92333391|92345914",4,0,0,0,0,0,0,0,0,0,0
"chr1:92333391|92380873",27,7,12,15,16,15,13,6,11,30,18
"chr1:92563642|92636336",8,0,5,0,3,3,4,5,7,6,4
"chr1:92563642|92704744",13,0,5,4,5,5,7,0,7,7,0
"chr1:92605307|92636336",4,3,7,6,3,6,7,0,5,4,0
"chr1:92693802|92704744",3,0,0,0,0,0,0,0,0,0,0
"chr1:93567279|93567851",2,0,0,4,0,0,0,0,8,2,0
"chr1:94487542|94506642",2,0,0,0,0,0,0,0,0,0,3
"chr1:95143891|95151419",3,0,0,8,6,5,6,5,4,6,0
"chr1:95143891|95173889",2,0,0,0,0,0,0,5,5,5,4
"chr1:96769703|96785254",4,4,0,0,0,6,2,0,4,0,2
"chr1:98684885|98698905",2,0,0,0,0,0,0,0,0,0,0
"chr1:98691075|98701903",4,0,2,0,0,0,0,0,0,2,0
"chr1:99740793|99749001",3,0,0,0,0,0,0,0,0,0,0
"chr1:100906852|100921841",4,0,0,2,0,3,2,0,0,2,3
"chr1:103565435|103575540",12,0,12,13,22,13,12,6,13,20,12
"chr1:103565435|103621893",4,0,2,3,0,3,7,3,2,4,2
"chr1:103565435|103716018",4,0,0,0,3,2,0,0,0,7,0
"chr1:108148279|108161293",2,4,6,6,4,2,2,2,2,4,3
"chr1:108793582|108800305",4,0,0,4,0,0,2,2,0,0,0
"chr1:108982609|108986680",2,0,0,0,0,0,0,0,0,0,0
"chr1:110222964|110226178",2,0,2,0,0,0,0,0,0,0,0
"chr1:111147642|111161296",2,0,2,0,2,2,3,0,5,0,6
"chr1:112555868|112616895",4,0,0,2,0,0,0,0,3,0,2
"chr1:112591525|112611003",3,0,0,0,0,0,0,0,0,0,0
"chr1:112653598|112659779",11,9,6,9,4,8,5,3,8,11,5
"chr1:113724759|113726574",2,0,0,0,0,0,0,0,0,0,0
"chr1:114463104|114464388",6,0,4,9,11,6,9,5,9,14,5
"chr1:114719579|114738072",2,0,0,0,2,0,0,0,0,2,0
"chr1:117402186|117405645",15,6,5,5,8,9,6,0,8,7,7
"chr1:117402186|117414831",32,21,27,51,33,33,24,19,36,27,26
"chr1:117402186|117420649",89,65,68,105,116,73,81,36,120,77,80
"chr1:117402186|117442325",30,22,21,41,29,21,22,21,38,35,26
"chr1:117402186|117466427",4,2,0,3,5,3,2,0,4,4,3
"chr1:117460489|117502970",10,0,5,7,3,7,6,2,9,11,8
"chr1:145947619|145951782",2,0,0,0,0,0,0,0,0,0,0
"chr1:147252623|147259918",4,0,2,11,4,11,2,7,6,12,13
"chr1:147275354|147285487",2,0,3,2,0,0,3,0,3,0,3
"chr1:150286430|150286993",2,0,0,0,0,0,0,0,0,2,0
"chr1:150334935|150335241",2,0,2,0,0,0,0,0,0,0,0
"chr1:151024611|151025673",2,0,5,4,0,4,0,0,0,2,5
"chr1:151088158|151118139",2,0,0,0,0,0,0,0,0,0,0
"chr1:151088190|151118139",3,0,8,4,4,2,3,0,0,5,5
"chr1:151315573|151316509",5,0,0,5,4,2,2,3,4,5,3
"chr1:151427823|151442205",9,2,7,3,7,3,2,0,6,6,0
"chr1:151638888|151668635",5,0,2,0,2,4,0,0,0,3,2
"chr1:151658235|151668635",3,0,0,2,0,3,0,0,0,3,3
"chr1:151658235|151683445",3,0,0,0,0,0,0,0,0,0,0
"chr1:154172908|154173201",3,0,7,0,0,5,5,6,5,5,6
"chr1:154234591|154246375",2,0,0,0,0,0,0,0,0,0,0
"chr1:154251041|154251653",4,0,2,2,3,2,4,2,2,3,3
"chr1:154448125|154454581",3,0,0,0,0,0,0,0,0,0,0
"chr1:155395459|155459898",12,4,4,6,6,13,9,0,9,10,10
"chr1:155415744|155459898",7,0,4,4,2,3,3,0,4,0,0
"chr1:155438327|155439068",15,15,14,19,12,9,22,8,15,27,23
"chr1:155438327|155459898",30,10,23,34,16,21,16,11,15,28,13
"chr1:155670320|155679512",4,3,0,3,3,0,2,0,0,0,0
"chr1:155670320|155784089",2,0,0,0,2,0,2,0,3,0,0
"chr1:155675010|155679512",10,0,8,11,6,4,4,2,9,4,0
"chr1:155675010|155784089",2,0,0,0,2,0,0,0,0,2,0
"chr1:155676548|155679512",18,0,11,13,15,0,9,6,20,17,11
"chr1:155676548|155784089",3,0,0,0,5,6,0,0,5,2,0
"chr1:155725382|155726019",2,8,5,0,0,2,0,0,0,0,2
"chr1:155853276|155853806",15,9,17,12,17,21,14,18,23,23,14
"chr1:155926676|155927156",4,0,0,4,5,3,3,3,4,5,2
"chr1:156333547|156334918",7,4,9,4,3,6,4,2,6,7,6
"chr1:160323431|160332557",3,3,4,0,0,8,7,2,7,5,3
"chr1:164792494|164821626",6,0,0,4,0,0,2,0,0,0,0
"chr1:164807542|164821626",2,0,0,2,2,0,3,0,0,2,2
"chr1:165890204|165891322",2,0,0,0,0,0,0,0,0,2,3
"chr1:167951800|167975015",4,0,0,0,0,0,0,0,0,2,0
"chr1:167966629|167975015",2,0,0,0,0,2,0,2,0,0,0
"chr1:168065590|168068463",2,0,0,0,0,0,0,0,0,0,0
"chr1:168104477|168104894",9,0,9,10,8,4,4,0,9,13,8
"chr1:168231514|168231919",2,0,0,0,0,0,0,0,0,0,0
"chr1:169978085|170031975",18,8,13,10,9,7,9,8,6,12,9
"chr1:171523221|171527844",2,2,0,0,0,0,0,0,0,0,0
"chr1:171523221|171532961",2,0,0,2,2,4,0,2,2,0,0
"chr1:171568247|171575128",4,0,0,2,8,4,3,3,2,0,7
"chr1:172140480|172144437",8,5,2,0,3,2,6,7,5,7,0
"chr1:172551512|172557794",7,4,4,0,3,6,0,4,5,6,2
"chr1:172551512|172579267",6,0,0,0,0,2,0,0,2,2,0
"chr1:172551512|172591071",8,0,4,0,0,0,2,4,0,0,4
"chr1:173624787|173627159",3,0,0,0,0,0,0,0,0,0,0
"chr1:173992755|173993135",3,2,0,2,2,0,0,2,0,0,3
"chr1:176081152|176136547",5,0,5,0,8,4,3,0,6,11,3
"chr1:176135010|176163891",2,0,0,0,0,0,0,0,0,0,0
"chr1:176162869|176184692",3,0,0,0,0,2,0,0,0,2,0
"chr1:179120190|179121867",3,0,4,0,5,0,0,3,0,0,2
"chr1:179131311|179133374",6,3,5,4,0,4,7,5,5,5,2
"chr1:179337837|179342943",2,0,2,0,0,0,3,0,0,0,2
"chr1:179986169|180006567",3,4,0,0,3,5,0,0,3,2,3
"chr1:180003174|180006567",11,7,13,9,8,16,6,10,9,9,6
"chr1:180003174|180024582",2,0,0,0,0,0,0,0,0,0,0
"chr1:180397516|180413471",3,0,0,0,0,0,0,0,0,0,0
"chr1:180984677|180993425",2,5,3,0,0,0,3,4,7,0,0
"chr1:184590739|184619630",4,0,0,0,2,0,0,0,0,0,0
"chr1:184732837|184749592",3,0,0,0,3,0,0,0,0,0,0
"chr1:185214507|185231708",9,5,2,2,6,7,0,4,5,0,0
"chr1:186390711|186391791",2,0,0,0,0,0,0,0,0,0,0
"chr1:186406083|186419077",3,0,2,0,0,7,0,0,0,0,7
"chr1:186893011|186911389",2,0,0,0,0,0,0,0,2,0,0
"chr1:193028085|193029657",4,0,0,0,0,0,0,0,0,0,0
"chr1:193075820|193077050",2,0,0,0,3,0,0,0,0,2,0
"chr1:193141850|193152444",7,0,2,2,0,0,3,0,0,0,0
"chr1:196713735|196728522",2,0,0,0,0,0,0,0,0,0,0
"chr1:197642711|197658369",3,0,0,0,0,0,0,3,4,3,6
"chr1:197642711|197715074",2,0,0,0,2,2,0,2,0,0,0
"chr1:200760839|200815644",7,0,0,4,4,6,11,3,5,3,5
"chr1:201852104|201858994",2,0,0,0,0,2,0,0,0,0,0
"chr1:201854595|201857194",3,0,0,0,0,0,0,0,0,0,0
"chr1:201857096|201858994",2,0,0,0,0,0,0,0,0,0,0
"chr1:202001376|202003461",2,0,3,2,2,0,2,0,0,2,0
"chr1:203707009|203708104",21,11,29,20,22,22,16,7,21,26,21
"chr1:203833791|203840374",4,0,0,0,0,0,0,0,0,0,0
"chr1:204112915|204114605",5,4,4,5,6,0,4,0,0,8,0
"chr1:204112915|204117707",4,0,0,0,0,2,0,0,2,3,0
"chr1:204112915|204124857",2,0,0,0,0,0,0,0,0,0,0
"chr1:204116507|204117707",3,0,0,0,2,0,0,0,0,0,0
"chr1:204468870|204469886",2,0,2,0,2,0,0,0,0,2,2
"chr1:204952011|205002748",2,0,0,0,0,0,0,0,0,0,0
"chr1:205001170|205002748",2,0,0,0,0,0,0,0,0,0,0
"chr1:205616478|205623891",26,25,22,26,31,26,19,20,20,20,26
"chr1:209830108|209831043",2,0,3,0,0,0,0,0,0,0,2
"chr1:211353239|211354467",13,5,31,24,10,15,10,12,13,21,19
"chr1:211353239|211356468",2,0,0,0,0,2,3,0,0,0,0
"chr1:211778918|211793190",7,0,4,6,14,8,4,3,11,7,4
"chr1:212329135|212333598",2,0,0,0,0,3,0,0,0,0,0
"chr1:213077696|213117410",6,3,3,2,0,5,3,0,2,4,3
"chr1:213117317|213129889",2,0,0,0,0,0,0,0,2,2,0
"chr1:213117317|213167973",2,0,0,0,0,0,0,0,0,0,0
"chr1:213129527|213176492",4,0,0,0,0,0,0,0,0,0,0
"chr1:213230497|213232255",2,0,0,0,0,0,0,0,0,0,2
"chr1:213996469|214011715",2,2,2,5,5,0,0,2,3,0,0
"chr1:214390988|214398001",2,0,0,0,0,0,0,0,4,0,2
"chr1:215575901|215579137",8,0,2,0,0,6,6,0,2,3,0
"chr1:215586495|215595471",2,2,5,2,5,4,4,4,0,0,5
"chr1:219193082|219241308",20,0,5,6,9,6,5,4,6,7,9
"chr1:219193082|219391114",2,0,0,2,0,0,0,0,0,0,0
"chr1:219193130|219218712",2,0,0,2,0,0,0,0,0,0,3
"chr1:220212887|220213979",2,0,0,2,0,0,0,0,2,0,0
"chr1:222724092|222725555",4,4,0,7,0,0,0,0,2,0,0
"chr1:223954477|223962273",3,0,2,0,0,0,0,0,0,0,2
"chr1:224189577|224190319",4,0,0,0,0,0,0,0,0,0,0
"chr1:224952670|225007544",5,3,0,0,2,4,2,0,0,0,2
"chr1:225412454|225415332",4,0,2,3,8,7,2,0,3,4,0
"chr1:225530554|225567414",3,0,2,0,3,3,0,0,2,0,3
"chr1:227004994|227017050",4,0,0,6,5,6,4,2,2,4,3
"chr1:227193786|227254155",3,0,0,4,2,0,0,0,0,0,0
"chr1:229286486|229304000",2,0,0,2,0,3,0,0,0,2,3
"chr1:230663141|230675124",3,3,0,0,4,0,0,0,4,3,0
"chr1:230954333|230961303",3,0,0,0,2,0,2,3,4,0,2
"chr1:231370562|231374099",5,6,5,6,7,11,10,0,11,4,7
"chr1:231795242|231818517",4,0,0,3,4,6,4,9,3,3,4
"chr1:233217899|233227371",3,0,2,0,5,0,0,0,0,0,0
"chr1:235341708|235342883",3,0,0,3,0,0,0,0,0,2,0
"chr1:235437322|235442911",2,0,0,0,0,0,0,0,0,0,0
"chr1:235830226|235833667",3,0,2,0,7,4,2,2,4,2,0
"chr1:236024070|236038253",6,5,3,9,14,5,7,3,8,0,5
"chr1:236029550|236038253",2,0,0,0,0,0,0,0,0,0,0
"chr1:236168706|236183906",5,5,0,0,7,6,6,7,0,3,4
"chr1:236806144|236816543",7,5,0,6,7,3,6,0,8,5,5
"chr1:236824119|236826896",2,0,0,0,0,0,0,0,0,0,0
"chr1:243270092|243426558",3,0,0,0,0,0,2,0,0,0,4
"chr1:243293091|243378863",2,0,0,0,0,2,0,0,0,0,0
"chr1:243293091|243426558",3,0,3,0,0,4,3,2,0,2,7
"chr1:243304713|243330692",3,0,0,0,0,0,0,0,0,0,2
"chr1:243304713|243378863",3,0,3,4,0,0,2,0,0,0,0
"chr1:243304713|243426558",8,2,9,5,3,3,0,2,0,3,3
"chr1:243415702|243426558",5,3,3,9,9,4,3,4,8,10,4
"chr1:243512324|243573048",5,4,3,2,0,0,0,0,0,2,5
"chr1:243545510|243573048",31,9,16,21,12,9,9,5,4,12,19
"chr1:243545510|243695716",4,5,5,3,3,4,3,0,3,6,0
"chr1:243613671|243695716",2,0,2,2,6,3,3,0,7,4,3
"chr1:244857598|244859374",2,0,0,0,0,0,0,0,0,0,0
"chr1:245002121|245059458",4,0,0,2,0,0,0,0,0,0,0
"chr1:247155566|247159867",2,0,0,0,0,0,0,0,4,2,4
"chr1:247156406|247159813",24,28,11,27,23,13,9,5,29,33,24
"chr1:247159006|247159813",5,2,3,5,5,2,4,3,4,5,7
"chr10:179994|221356",3,0,0,9,3,4,3,3,3,2,0
"chr10:263204|263658",5,3,0,0,5,4,0,2,0,5,3
"chr10:1080011|1080476",5,0,0,0,2,0,0,0,0,0,0
"chr10:1084403|1096246",2,0,0,0,0,0,0,0,3,5,0
"chr10:4830675|4908420",6,4,3,3,0,0,5,3,2,0,3
"chr10:4830675|4909606",6,0,0,0,4,8,6,2,6,10,3
"chr10:4873214|4909606",2,0,0,0,0,0,2,2,0,0,0
"chr10:4908351|4933330",2,0,0,0,0,0,4,0,0,0,0
"chr10:5699525|5714207",15,4,10,4,0,6,3,5,9,6,3
"chr10:5709530|5712918",3,0,0,0,0,0,0,0,0,0,0
"chr10:5726885|5731203",2,0,0,0,0,0,0,0,0,0,0
"chr10:5773842|5800705",3,0,0,0,3,2,0,0,2,2,2
"chr10:5794885|5800705",9,7,7,8,15,15,2,0,18,14,3
"chr10:7220411|7276989",2,0,0,0,0,0,0,0,0,0,0
"chr10:7220411|7285954",3,0,3,8,13,7,4,5,7,5,2
"chr10:7243558|7285954",19,12,18,29,36,21,15,16,30,14,24
"chr10:7248548|7285954",2,2,0,0,0,0,2,0,3,0,0
"chr10:7276892|7285954",28,16,21,24,41,27,20,12,21,13,12
"chr10:7367649|7381949",4,0,4,4,4,2,0,7,7,0,2
"chr10:7615982|7655675",6,3,3,10,5,7,3,0,7,8,6
"chr10:7637228|7655675",3,2,6,4,3,3,0,0,4,2,0
"chr10:7797047|7802854",9,12,6,18,17,16,14,13,15,13,7
"chr10:11481770|11485911",2,0,0,0,0,0,0,0,0,0,0
"chr10:11942665|11952249",2,0,0,0,0,0,0,0,0,0,0
"chr10:11955232|11964125",2,0,0,0,0,0,0,0,0,0,0
"chr10:11997672|12014184",3,4,2,4,0,2,7,6,7,5,3
"chr10:12081472|12094271",2,0,0,0,0,0,0,0,0,0,0
"chr10:12081472|12120267",3,0,2,0,0,2,0,2,0,0,0
"chr10:12215740|12238485",3,0,0,0,5,0,0,0,2,0,3
"chr10:13127745|13136897",4,3,6,11,4,3,0,2,8,5,2
"chr10:13291831|13295606",3,0,0,0,0,0,0,0,0,4,0
"chr10:13659323|13663509",4,0,0,0,3,0,0,0,2,0,0
"chr10:14896846|14897517",2,0,0,2,0,0,0,0,0,0,0
"chr10:15816835|15847943",12,7,8,7,11,8,10,5,10,12,6
"chr10:15821656|15847943",5,2,0,0,3,3,0,0,2,0,4
"chr10:15833630|15847943",6,13,6,8,7,7,5,2,5,9,3
"chr10:16752539|16782084",3,0,2,5,7,6,0,0,4,7,8
"chr10:17153507|17174660",3,0,0,0,0,0,0,0,0,0,0
"chr10:17157441|17168917",2,0,0,0,0,0,0,0,0,0,0
"chr10:17540806|17543789",2,0,0,0,0,0,0,0,0,0,0
"chr10:17704431|17705741",7,6,0,2,6,3,5,6,4,2,6
